lo0,lores,lofreq,freq,dec,resbin,ridx,weight,widx,noise166,flux10,snr10,hours,snravg,relnoise,noise50,noise50_ref2,psf_area,psf_sym,psf_mean,noise50k
SKA1W9-12A72B120,0,0,650,-10,1.0-2.0arcsec,1,natural,0,1.2,14.45,12.53,2.84,16.77,0.71,2.1,3,,4.7,0.03,1.2239,66
SKA1W9-12A72B120,0,0,650,-50,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,1.3,14.45,11.13,3.48,15.17,0.70,2.4,3.4,,4.9,0.01,1.2463,75
SKA1W9-12A72B120,0,0,650,-30,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,5.8,14.45,2.51,79.41,3.17,1.05,11,10,,1.7e+06,0.03,732.4540,3.3e+02
SKA1W9-12A72B120,0,0,1100,-30,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,2.2,10.00,4.44,9.06,9.40,0.97,4.1,4.2,,16,0.01,2.2249,1.3e+02
SKA1REF2,0,0,650,-50,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,1.5,14.45,9.40,4.10,13.97,1.00,2.8,2.8,,3.3,0.04,1.0249,89
SKA1W9-12A72B120,0,0,1100,-30,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,1.3,10.00,7.86,2.37,18.37,0.81,2.3,2.9,,2.4,0.01,0.8720,73
SKA1W9-12A72B120,0,0,1100,-50,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,1.3,10.00,7.68,3.26,15.67,0.78,2.4,3,,0.85,0.04,0.5209,75
SKA1W9-0A72B120,0,0,800,-50,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,1.8,12.50,7.07,4.69,13.06,0.85,3.2,3.8,,4.1,0.00,1.1423,1e+02
SKA1W9-12A72B120,0,0,800,-30,3.0-4.0arcsec,3,robust=-2.0:taper=0,1,2.7,12.50,4.68,12.00,8.16,1.00,4.9,4.8,,33,0.01,3.2405,1.5e+02
SKA1W9-12A72B120,0,0,800,-10,1.0-2.0arcsec,1,natural,0,1.4,12.50,9.01,2.84,16.77,0.86,2.5,2.9,,5.1,0.06,1.2787,80
SKA1REF2,0,0,1100,-10,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,9.5,10.00,1.05,64.05,3.53,1.00,17,17,,1.8e+06,0.05,761.4985,5.5e+02
SKA1W9-12A72B120,0,0,800,-50,3.0-4.0arcsec,3,natural,0,2.6,12.50,4.80,11.75,8.25,0.99,4.7,4.8,,34,0.07,3.3158,1.5e+02
